Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
sorted32/part19,32,609.25,18,136805933056.00,1105431.75,281145147392.00,138908647424.00,15036925,5562702,28863706,16620052,0,0,5562541
sorted32/part20,32,609.25,19,135121715200.00,301679.91,321020067840.00,208827514880.00,18147333,5562626,32340326,28287658,6,0,5562515
sorted32/part21,32,609.25,20,142435008512.00,541730.06,327776862208.00,204833996800.00,18534138,5562564,32424546,27923365,7,0,5562499
sorted32/part22,32,609.25,21,140159926272.00,970567.94,319890948096.00,149766717440.00,18445405,5562620,34045042,19971232,14,0,5562517
sorted32/part23,32,609.25,22,139867848704.00,1071080.12,323467051008.00,148784103424.00,17941984,5562651,34316226,19545322,13,0,5562529
sorted32/part24,32,609.25,23,140216205312.00,657577.88,330590289920.00,208601530368.00,18656583,5562599,33485729,31043237,7,0,5562508
sorted32/part25,32,609.25,24,138978705408.00,556695.56,324540989440.00,210243092480.00,18540508,5562569,32447600,30929932,12,0,5562497
sorted32/part26,32,609.25,25,141851705344.00,2122468.75,326930792448.00,145330880512.00,17490259,5562770,33794319,18871111,9,0,5562567
sorted32/part27,32,609.25,26,141368754176.00,1346970.62,324458971136.00,143768420352.00,17242595,5562851,33723576,19616580,17,0,5562589
sorted32/part28,32,609.25,27,135998472192.00,698360.56,317953343488.00,187122057216.00,18426796,5562688,33200923,24659654,3,0,5562533
sorted32/part29,32,609.25,28,136933081088.00,1423241.75,318383783936.00,171224924160.00,17972617,5562765,33292804,21667651,12,0,5562563
sorted32/part30,32,609.25,29,137230802944.00,411393.00,318932615168.00,191281004544.00,18831450,5562722,32833201,26366319,9,0,5562549
sorted32/part31,32,609.25,30,141274038272.00,0.00,325077499904.00,207850160128.00,19045654,5562492,32749733,28666874,1,0,5562476
sorted32/part32,32,609.25,31,142061764608.00,2613523.00,320958627840.00,144163061760.00,17202801,5562896,33884516,19391348,12,0,5562604
